,reviews
3232,"
This is the first time I purchase B&O. In the past I have tried many model of them but I decided not to buy because the sound dynamic quite too light for me. But not for H95, sounds are crisp, great dynamic and wide range of sound.So impressed and glad I decide to buy.
"
3233,"
Great build quality. Easy to set up and connect to my iPhone. Good ANC. You can adjust EQ and settings with the downloadable app. Great soundstage and extreme highs and lows. Comes with nice aluminum carry case. Volume control through the app, your phone or there is a large nov integrated into the earpiece you can turn to adjust volume on the right and the one on the left adjust the degree of ANC or transparency. I’m happy with them.
"
3234,"
Best wireless headphones I have owned .  Includes Sony X104 , Bose 700, Apple Max Pro !
"
3235,"
Amazing product been using bang and olufsen my whole life.  Only thing I don't like is if they break and customer service is bad
"
3236,"




                    The media could not be loaded.
                



 Like most, the cost of the Bang & Olufsen Beoplay H95 Wireless Noise Cancelling Headphones kept me from trying them. I first bought and loved the Beoplay HX headphones but kept feeling something was lacking. I had to adjust the EQ regularly to “fix” the sound as it would sometimes be too harsh in the high end or the bass might distort a bit at high volume. Also felt the round ear cups were not ideal for creating a seal to allow the noise cancellation to do what it is supposed to do. The H95’s were still the ones I wanted, ever since I saw them announced but the cost held me back. Finally I had to give in and ordered them and I can honestly say I do not regret it. They are without a doubt the best sounding wireless headphones I have tried and I have tried many, many wireless headphones over the last two years. I currently own the Bang & Olufsen Beoplay HX, The Air Pods Max and the Technics A800 Headphones. The H95’s blow them all out of the water, at least for me.Sound is subjective, everyone hears things differently but for me these have the best sound out of the box of any I have tried. I also tried models from Sony, Bowers & Wilkins, Master & Dynamic, Sennheiser and more. These sound so good, with incredible depth, detail, and the soundstage is immersive and clear. Bass is strong but not overwhelming. Those seeking heavy bass might be disappointed but I think it sounds just right. Others have said they think they don’t get loud enough and I can hear that, definitely older tracks that have not been remastered will show off the weakness in the recording but for me most everything I have listened to sounds awesome and for me they are loud enough. The noise cancelling is surprisingly good, especially when music is playing it blocks a good amount of outside sounds. No doubt some are better (like Sony or Bose) but these are up there near the top of the list. Also the build quality is the best, really beautiful looking headphones, starting with the aluminum case they come in, the braided cords that fit into the compartment inside the case (with leather snap straps to hold them) and the headphones themselves are made of premium materials like aluminum and leather and fold up to fit inside the case. The ear cup pads are held with magnets and are easy to remove and replace (like the Air Pods Max do) and the oval shape lends to better sound isolation and comfort. These headphones just feel like something luxurious on your head. They have a little more clamping force than the HX which some might have issue with but I found it perfect as the HX’s felt more loose and like they might fall off my head at times (although they haven't as of yet). The Titanium drivers allow for better sound than is found on the HX (which are still good, just not as good, especially in direct comparison to the H95’s). Battery life is very good, as expected, but individual mileage varies on usage, volume and ANC settings and such. And i do love the dials on the ear cups for adjusting volume (right ear cup) and ANC/Transparency (left ear cup). It’s a nice touch. The only fault I can really find with these headphones is the touch control can be finicky for sure, but usually works, and there are no wear sensors to stop/start playback when you remove/replace the headphones but since this feature doesn’t always work properly on some headphones I have used I don’t really need it. If price is not an issue, I highly recommend the H95 headphones…If cost is an issue, I still love the HX and they do have wear sensors, and they are a slightly more reasonably priced alternative, especially when on sale. I cannot say enough good things about the H95’s and the Bang & Olufsen brand! I am spoiled now and will be hard pressed to use any other headphone! I haven’t even tried them wired as of yet, I hear they are great wired too, but I really only want to be free of wires, otherwise why buy wireless headphones? As they say “you get what you pay for” and I think these headphones are well worth it!Update: decided to try the H95’s wired and they sound simply  incredible! I’m truly impressed. You do have to use power when wired so there is that to take into consideration and that may be why the wired sound is so awesome! I would not normally use them wired but it’s nice to have as an option, especially as good as they sound. And as mentioned above, the cords are durable braided cords for longevity and endurance. A really nice touch! One thing I discovered: the assistant button is supposed to be a long press to activate your assistant, in my case Siri, but it did not work at all. It’s supposed to be a long press to activate and a double press to cancel or deactivate, so I tried the double tap and it worked to activate Siri, at least on my unit. So if you find the long press not working, try the double tap. (I don’t really use it that much anyway but it’s good to know it does work after all). Update: a recent firmware update has improved the responsiveness of the touch control, it will pause/play quicker than before with less of a delay in the sound starting or stopping. Still my favorite wireless noise cancelling headphones!
"
3237,"
Great sound & controls. A bit heavier than other brands, but still comfortable to wear for long periods.
"
3238,"
I was lucky enough to get B&O HX on Amazon prime day deal for a bargain price of £300.From the moment I put the HX on i was blown away by the build quality,sound and even the noise cancelling.But I was always curious as to why the B&O 95 were £750.... £300 more than the HX (at full price) and when looking at the specs didn't seem to have £300 worth of differences.Both use the same drivers.Both made from the same materials.Both using the same Bluetooth codecs.But my curiosity got the better of me so I decided to order a pair to see if I was missing something.On arrival I will admit the unboxing experience is the best I have ever had.The box they come in is very premium and looks like it's holding a premium product inside.The headphones carry case is all metal and looks amazing but not so great if you intend on using it to travel as it will scratch very easily and dosent fold down flat when not in use so takes up a lot of room in a bag.When you open the headphones case you are treated to a very nice looking pair of headphones.B&O Tradition oozing with style.These headphones look stunning and are very well built.The rest of the accessories in the box.. charging cable,audio jack and flight adaptor also follow suit with premium materials used.You know these headphones are made to last year's and years which I must admit is something I really like from B&O.But after testing do I think they are better than the HX and worth the very premium price.Well it took me all of 2 hours to make my mind up.Sound.......Sound is subjective and what I like you may not so I'm just going to say that I love the sound of the HX and the 95 sound exactly the same.I was very surprised but disappointed by this. As I said I love the sound of the HX but was expecting to be blown away by the 95'sThe only thing I could tell after doing an A/B comparison is the 95's have a bit more bass but I don't think it's to do with driver tuning it's coming from the fact that the 95's have oval earcups and a stronger clamp force than the HX which helps with bass reproduction.Other than that both headphones get plenty loud and sound crisp clear and have a great soundstage.Battery.95s have a better battery lasting 38 hours compared to the 35 hours of the HX.Noise cancelling...Noise cancelling on the 95's are better than the HX but not by a mind blowing amount.ControlsBoth headphones use a combination of touch controls and physical buttons. Few differences between the 2 is that the 95's use dials located on the earcups to control sound and also ANC.Turn the right dial and that adjust the volume and use the left dial to adjust the level of ANC/Ambient sound.Great idea but when using them the dials felt like they were scraping a bit and didn't feel butter smooth which I was expecting but still did the job.The HX on the other had use the touch pad for volume(rotate your finger around the outside of the touch pad increases/decreases the volume).Fornthe ANC you have a button on the left cup which when pressed cycles through the ANC/Ambient or off modes.Both use the touch pad for track skip,paly/pause and to answer and reject phone calls.One advantage the HX has over the 95s is auto pause.So when you take the HX off your head when listening to music they will stop playing and then resume when you put them back on.Was very surprised to see that the 95's don't support this feature.Weight.Neither headphones are very heavy but the 95's have the heavier of the 2 which I did notice but was possibly due to the fact I have been using the HX for a week prior but it didn't cause discomfort.Final thoughts.When comparing the 2 as I have done I can't recommend these as for the price the differences just don't add up.Better battery (just)Better ANC (just)Build and sound (same)Honestly if you are considering these headphones give the cheaper HX a shot. I guarantee you won't be disappointed and you will still have a loads of cash left to buy the wife/husband something nice to and even take them out for tea 😁Thanks for reading and I hope this helped in your purchase decision 👍
"
3239,"
Avevo le Bose QC 35 II, ma posso dire che solo da oggi ascolto veramente ogni strumento della mia musica preferita, grazie alle H95. La qualità del suono è da brividi. Ma il volume massimo è troppo basso. Mi sembra strano che un prodotto di questa fascia di prezzo non ti dia la possibilità di andare oltre il necessario e il raccomandabile, quando se ne avesse voglia.Ma non si può in tutta onesta parlare male di questo prodotto. È una meraviglia.Per passare da un dispositivo all’altro fra quelli abbinati, bisogna spegnere manualmente quelli che non si vuole ascoltare; in base al prezzo pagato, uno si aspetterebbe una app con questa funzionalità (stile Bose).
"
3240,"
Vorab, Sound ist wie Schönheit und Kunst im allgemeinen Geschmackssache, subjektiv sowie individuell. Jeder hat so seine eigenen Vorstellungen wie die Musik klingen sollte, damit sie als perfekt bezeichnet werden kann.Als Zuspieler für die Bewertung dienten ein Onkyo Granbeat dp-cmx1, FiiO X7, Surface Book 2 und Pixel 6 Pro (Onkyo HF Player). Die Musikdateien lagen ausschließlich in FLAC von HD bis UHD vor und wurden per Bluetooth sowie Kabel an den Beoplay gesendet. Für das Streamen wurden Qobuz und AMAZON genutzt. Zum Vergleich habe ich den Bose 700 ANC, DUNU DK 2001, Onkyo E900, FiiO EX1, Beoplay H5, H9 und den Technics EAH AZ60 hinzugezogen.Der Beoplay H95 ist B&O typisch ein Design Produkt, welches sich optisch und vor allem in der Materialwahl stark von der Konkurrenz absetzt. Entgegen dem Groh an Kopfhörern besteht der Beoplay zum Großteil aus Metall und echtem Leder, während sich bei der Konkurrenz das Verhältnis exakt umgekehrt verhält und viel Kunstleder zum Einsatz kommt, einfach nicht vergleichbar. Die Bedienung via Lünetten für ANC und Lautstärke sind ebenfalls bei keinem anderen Kopfhörer zu haben und funktionieren perfekt. Tipp-/Wischgesten für vor/zurück/Gesprächsannahme usw. finde ich besser als Taster, schließlich haben alle IN EAR Kopfhörer ebenfalls diese Funktionen, warum nicht auch OVER EAR Kopfhörer!?! Sehr gut gemacht B&O. Diese Art der Bedienung hatte mir schon bei meinem 4 Jahre alten Beoplay H9 1.Gen. seht gut gefallen (tipp und wisch Funktionen). Auch hat mein H9 noch keine Alterungserscheinungen an den Tag gelegt, weder musikalischer, materialer Art noch was den Akku anbelangt. Bei Kopfhörern mit Kunstleder Ohrmuscheln habe ich schon das eine oder andere Mal gehabt, das sich das Kunststoff auflösende Gebrösel an Kopf und Ohren klebte und ich aus diesem Grund auch nicht den Technics EAH A800 geordert (Bestellung zu Gunsten des H95 bei AMAZON gecancelt) habe. Ja, aufgrund der hochwertigen Materialien und der Verwendung von Aluminium ist der Kopfhörer nicht gerade leicht, trägt sich aber sehr angenehm, ohne das man den Eindruck bekommt, einen schweren Kopfhörer aufzuhaben. Das liegt zum einen an den sehr gut die Ohren umschließenden Hörmuscheln (habe keine kleinen Lauscher) und dem gut gepolsterten Bügel. Die Verarbeitung ist ausgezeichnet! Kein knacken oder knarzen wie beim Bose 700 ANC (Kunststoff und Kunstleder wohin das Auge sieht, aber auch viel leichter!).Bevor ein musikalisches Urteil über einen Kopfhörer gefällt werden kann, sollte dieser min. 20 Stunden betrieben worden sein. Technik braucht immer etwas Zeit um sich Einzuspielen, im besonderen Kopfhörer wie auch der Beoplay H95. Nach der Einspielzeit klingen die Kopfhörer ohne Anpassung des EQ (via Beoplay App) für mich bereits perfekt. Sehr schöner, exakter Tiefbass, lebendige Mitten und präzise Höhen. Das Klangbild des H95 ist sehr ausgewogen und bildet eine große Bühne ab. Hierbei sind die einzelnen Instrumente lokalisierbar und man kann ihnen während der Wiedergabe verifiziert folgen. Sehr gut klappt dies bei Otis Taylor / Nasty Letter, Evanescence / Synthesis, Steve Jablonsky / Transformer: Age of Extinction oder Thorbjorn Risager & The Black Tornado / Best Of. Klassik, Dance wie auch Rock oder Pop klingen sehr gut und für mich besser als beim Bose 700 ANC sowie Technics EAH AZ60. Der Bose hat zwar auch den Tiefbass, zeichnet ihn aber nicht so sauber ab wie der Beoplay H95. Auch wenn die DUNU DK 2001 und Onkyo E900 vier Treiber für die Abbildung der Musik nutzen, ist der Sound nicht so harmonisch wie beim H95 und Stellenweise bei den Höhen überspitzt (zuweilen unangenehm wie bei der Wiedergabe von INXS Songs).Das Pixcel 6 Pro hat sich zudem als sehr würdiger Zuspieler für alle Kopfhörer beim Vergleich herausgestellt, solange die Onkyo HF Player App genutzt wird! Die Poweramp App kommt klanglich nicht an die Onkyo App heran, egal ob die Musik per Blutooth oder Kabel (DAC zu USB C notwendig) zugespielt wird. Die bei einigen hier abgegebenen Bewertungen bemängelte max. Lautstärke des H95 kann ich nicht bestätigen. Vermutlich liegt es hierbei an der verwendeten Player App, den Geräteeinstellungen oder dem Streaming Dienst. Ich konnte diese Erfahrungen ebenfalls machen und würde empfehlen, am Smartphone einen andere Player zu verwenden und die Bluetooth Einstellungen zu überprüfen.Die Multikonnektivität ist wie bei den Technics EAH AZ60 sehr praktisch, wenn man mit dem Rechner sowie Smartphon zugleich verbunden ist und während einer Filmwiedergabe auf dem Rechner problemlos das Telefongespräche annehmen kann.Neben der sehr hohen Verarbeitungsqualität, der Optik sowie Haptik war ein weiteres Kaufargument die lange Akkulaufzeit. Hier wurde ich nicht enttäuscht und die angegebenen 38h werden bei meiner Lautstärkewahl problemlos erreicht. Leider ist der Akku nicht mehr wie beim Beoplay H9 eigenständig wechselbar.Ja, 800,- € sind eine menge Holz für einen Kopfhörer, aber er ist aus meiner Sicht und in Anbetracht der verwendeten Materialien, der Verarbeitung und dem Klang das Geld wert. Wer einen wertigen, langlebigen und sehr gut spielenden Kopfhörer sucht, dem kann ich den Beoplay H95 empfehlen.
"
3241,"
Ich hatte den H95 neben dem Bowers&Wilkens P7 S2 zwei Wochen intensiv in Betrieb. Musik hören über PC, iPhone 11 und meinen etwas in die Jahre gekommenen, aber immer noch hervorragenden Digital Audio Player Astell&Kern KANN - jeweils über Bluetooth und über Kabel. Dann noch viele Telefonkonferenzen über Bluetooth mit dem iPhone und dem PC - zumeist allerdings in eher ruhigen Umgebungen.In Kürze: ich fand den H95 sehr ausgeglichen und angenehm im Klang. Mehr Bass (für mich manchmal etwas zu prominent aber nie schwammig) und vielleicht etwas weniger Details speziell in den Höhen als der P7 S2, aber insgesamt sehr präzise und nie anstrengend. Bei längeren Musiksessions fand ich den H95 insgesamt harmonischer und schöner als den P7 S2 und auch angenehmer auf dem Kopf. Allerdings sind das am Ende nur sehr kleine Unterschiede und beide gehören sicherlich zu den besten ANC Bluetooth Kopfhörern die ich bislang gehört habe - und da waren einige von Bose, Sony und Sennheiser dabei. Ich würde sagen, zwischen H95 und P7 S2 entscheiden am Ende für mich die persönlichen Präferenzen was das Klangbild angeht (H95 wärmer und mehr Bass, P7 S2 etwas luftiger und eine kleinen Tick präziser in den Höhen).Ich habe trotzdem beide zurückgeschickt. Neben dem Musikgenuss muss ein ANC Kopfhörer bei mir sehr gute Leistungen beim Telefonieren und in Videokonferenzen bringen. Insbesondere die Verständlichkeit für den Gesprächspartner bei der Verwendung in nicht ganz ruhigen Umgebungen ist für mich von hoher Relevanz. Beide Kopfhörer machen da in ruhigen Umgebungen eine guten Job, wenn es um mich herum lauter wird kommen aber zunehmend Nachfragen vom Gesprächspartner. Es geht zwar auch dann noch, aber die Leistung ist nicht ganz auf dem Niveau meines aktuellen Bose NC700 und sicherlich deutlich schlechter als beim neuen Sony XM5. So gut wie mein aktueller Bose NC700 sollte ein neuer ANC BT Kopfhörer aber in dieser Disziplin definitiv sein - insbesondere bei den für den H95 und den P7 S2 üblicherweise aufgerufenen Preisen. Also geht auch der H95 zurück obwohl ich ihn tatsächlich für ‚nur‘ 568€ auf Amazon bekommen habe. Üblicherweise liegt er ja bei 700€ oder mehr und dafür ist er meines Erachtens einfach nicht gut genug.Sobald verfügbar werde ich den angekündigten Bowers&Wilkens P8 als potentiellen Kandidaten mit meinem mittlerweile mit einiger Verzögerung eingetroffenen neuen Astell&Kern SE180 DAP testen. Obwohl die Nutzung für Konferenzen und Telefonie sich - zumindest wenn man die technischen Spezifikationen zugrunde legt - wohl nicht erheblich von der Leistung des P7 S2 unterscheiden wird. Ich bin gespannt …
"
3242,"
Ero abbastanza indeciso se acquistarle, dato il prezzo non indifferente, anche con lo sconto del Blak Friday. Possiedo già le B&O H9 che già suonano piuttosto bene, e le Sennheiser momentum 3, che pure sono delle buone cuffie. Cosa mi ha spinto a prenderle?  Devo dire che già amo il suono definito e pulito delle B&O, poi avendo letto comunque delle più che buone recensioni sulle H95, alla fine mi sono deciso. E non mi sono pentito.Le cuffie sono comode, anche se un po' grandi. La portata del bluetooth è ottima, vado in giro per tutta casa senza che perdano il segnale. E infine il suono... Devo ancora finire il rodaggio di una quarantina di ore di ascolto, ma già la differenza con le altre cuffie bluetooth che possiedo si sente, eccome. Ottima spazialità e scena sonora, ottima definizione dei timbri e dei bassi, che sono caldi ed avvolgenti. Naturalmente dipende molto anche dalla sorgente sonora per avere il miglior risultato, ma ascoltate con dei file a 24 bit in Hi Res in alcuni brani sono spettacolari. Provato ad ascoltare la versione 2022 di Comfortably numb di Roger Waters: stupefacente la ricchezza del suono e la qualità dei dettagli. Ascolto anche molta classica, e il finale del terzo atto della Walchiria di Wagner nella registrazione di Solti è stato davvero emozionante. C'è chi ha lamentato il non alto volume raggiunto, ma francamente non ho sentito il bisogno di alzare il volume al massimo. Vado spesso a concerti dal vivo, specie con strumenti acustici, e conosco bene suoni e volumi di strumenti musicali e voci non amplificati. A me interessa la pulizia e la qualità del suono, e con le H95 l'ho trovato. Non ho termini di paragone con le cuffie cablate, poiché per mia comodità preferisco le bluetooth. Però penso che fra queste ultime sono probabilmente la scelta migliore che uno possa fare. Buon ascolto!!
"
3243,"
Ich ersetze mit dem H95 Kopfhörer den ebenfalls schon sehr guten H9 3. Generation. Tatsächlich liegen Welten zwischen den beiden Kopfhörern was Tragekomfort und Klang betrifft.Bereits das Öffnen der Schachtel und das erste Öffnen der Metallbox sind ein absolutes Erlebnis! Die Wertigkeit der Materialien ist auf allerhöchstem Niveau und erfüllt so höchste Ansprüche. Noch nie wurde ich haptisch und optisch so überwältigt - auch wenn man das bei einem derartigen Kaufpreis erwarten muss! Das setzt sich beim Entfalten und Aufsetzen des Kopfhörers fort. Das Leder, die Metallapplikationen, die Tasten und Schalter: Alles wirkt edel und höchstwertig.Das Koppeln und Einrichten über die B&O App funktioniert tadellos. Die Oberfläche der App gefällt mir sehr gut. Die Einstellmöglichkeiten sind klar gegliedert und leicht verständlich.Zum Einstellen des Klangs werden einige voreingestellte Presets angeboten. Man hat aber auch die Möglichkeit den Klang über einen frei bewegbaren Kreis in verschiedene Ebenen zu bewegen und so die Abstimmung des DSP zu beeinflussen.Verglichen mit dem auch schon schweren H9 sitzt der H95 um ein Vielfaches besser. Allein durch die längliche Form der Hörer und die deutlich weichere Schäumung des Kopfbügels verbessern den Tragekomfort erheblich. Trotz seines unfassbar hohen Gewichts ist stundenlanges Tragen kein Problem.Endgeil finde ich auch die Drehringe an den Hörern, mit denen sich links ANC und rechts die Lautstärke einstellen lassen.Erstes ProbehörenEinziger Kritikpunkt vorweg: Die maximal wählbare Lautstärke stellt im Bluetooth-Betrieb leider nicht zufrieden. Erstaunlicherweise gibt der H95 auch bei Verwendung mit Klinkenkabel viel zu wenig Power aus. Bei dem H9 konnte ich mit Kabel eine deutlich höhere Lautstärke erzielen und damit die wahren Qualitäten des Kopfhörers nutzen.Das mag sicherlich am verwendeten Ausgabegerät liegen (iPhone 12, ipad pro, dell inspiron g7), doch im Alltag hat man selten einen Kopfhörerverstärker oder einen AV-Receiver bei sich. Ich wünsche mir einfach mehr Punch! Dafür ziehe ich einen Stern ab! B&O ist nicht der einzige Hersteller, der zu wenig Lautstärke bietet. Es scheint ein allgemeines Problem zu sein - wahrscheinlich zurückzuführen auf Verordnungen durch Gesetzgeber zum Schutz der Allgemeinheit.Der H95 spielt kraftvoll und klar. Es gibt keine Frequenz, die der Hörer nicht kennt. Einfach jedes versteckte Detail kommt zum Vorschein. Es ist ein absoluter Genuss mit dem H95 Musik zu hören. Dabei spielt es keine Rolle, welche Musikrichtung man wählt. Einfach alles wird perfekt wiedergegeben.Kraftvolle und tiefe Bässe, nie dagewesene Details aus Mitten und Höhen. Chapeau! Ein Kopfhörer, der die Musik so wiedergibt, wie es sich die Studios vorstellen.Das ANC lässt sich in 5 Stufen einstellen. Verglichen mit dem Bose 700 Kopfhörer empfinde ich das ANC als gleichwertig und somit besser als beim H9. Ein tolles Feature ist die Funktion „Windgeräusche unterdrücken“. Damit funktioniert ANC bis zu einem gewissen Grad auch dann, wenn man sich beispielsweise auf dem Balkon aufhält und Windböen vorbei wehen.Bleibt nur das Manko der zu geringen Lautstärke. Wer es so wie ich gerne lauter mag, der wird zumindest in Verbindung mit Smartphone, Tablet oder Laptop enttäuscht werden. Ich werde ein Update geben, sobald ich den H95 mit einem Kopfhörerverstärker getestet habe.UPDATEDer Betrieb mit einem Kopfhörerverstärker von Neoteck brachte kaum Besserung. Bevor ich die Lautstärke auf ein gewünschtes Niveau bringen konnte, fing der Verstärker bereits an zu verzerren. Als würde der Kopfhörer das Eingangssignal bewusst auf das vorgesehene Limit absenken. Bei einem derartigen Kaufpreis ist so etwas m.E. nicht hinnehmbar. Daher schicke ich den H95 zurück.
"
3244,"
Une réduction du bruit pas au niveau des ténors que sont Sony, Apple et Bose.Il ne rechigne pas au niveau qualité audio, sa restitution est très ample et riche.Qualité des matériaux utilisés pour la construction du casque.Confort va être variable, de mon point de vue, avec le port de lunettes cela devient gênant avant une heure d’écoute. Toutefois d’autres le trouveront plus agréable, on ne sent pas vraiment le poids du casque.Je ne pense pas que le casque parfait existe, celui-ci ne répond pas à mes souhaits dans ce domaine, mais il demeure un bon casque audio au vu de sa plage dynamique.
"
3245,"
Desde el primer momento he notado la diferencia de calidad con respecto a todos mis anteriores auriculares,  los últimos modelos de Sony, Bosé, Sennheiser, que he ido probando. Pese al precio, si te gusta la música, merecen la pena.
"
3246,"
Sinceramente es un producto casi perfecto,no creo que haya nada mejor en el mercado.Para mí sería perfecto si pudiéramos desactivar los controles táctiles y tuviera botones para reemplazar esas funciones.
"
3247,"
update:  I've had an ear-cup fall off a couple of times while removing these headphones.Maybe a combination of hot weather, a bald head and weak magnets are too blame but a bit annoying on an expensive pair of headphones like this.Deducted a star.First and foremost I bought these for the audio quality, a detailed and airy sound with plenty of controlled bass when needed. Just amazing how far bluetooth headphones have come in recent years.Next plus would be the build quality...materials and construction that will, hopefully, stand the test of time (well, at least the a few years, unlike some previous headphones I have used).I also really appreciate having a physical on/off toggle  and the volume/anc dials...take those any day over press and hold type affairs.Now for a couple of negatives:The price. ouch. Got these on prime day sale (below £600) but, for me, still at the very outer reaches of a justifiable price for bluetooth headphones.The volume and anc dials, while superior over touch or press and hold buttons, feel cheap and out of odds with the build standard of the rest of the headphones.The ear cups could be a little bigger, a bit  of a snug fit but otherwise a comfortable wear.I think the good battery life and bluetooth connection are now pretty much standard and much less of an issue/selling point on previous generations , though still thankful for both.That's about it, would definitely recommend if within your budget.For sound reference I have had a Bower's PX (buttons stopped working), PX7s (hinge broke) and Sennheiser Momentum 3 ( recently started getting constant static in one cup) plus a Hifiman Sundara and a few other headphones, amps and such.
"
3248,"
Parto dal fatto che la mia scelta e dettata esclusivamente dalla qualità del suono che le cuffie sono in grado di riprodurre fedelmente, tutto il resto è irrilevante per me.Raramente ho sentito dei suoni così dettagliati e puliti come con queste B&O H95 e considerando che sono molto esigente posso confermare tranquillamente che valgono i soldi spesi. Sono veramente soddisfatto. Un suono corposo, immersivo, pulito e ricco di dettagli. Queste cuffie sono adatte ad ogni genere di musica. Qualcuno critica che  non raggiungono volumi altissimi (da sballo) ma devo dire che non si sente l’esigenza dato l’ottimo lavoro dell’ANC, ed inoltre, personalmente do più valore all’alta qualità del suono che al “rumore” riprodotto da tante cuffie in commercio. Riascolto i miei album come se fosse per la prima volta. Eccezionale.
"
3249,"
Ein "" Meisterstück "" von Bang & Olufson. Klang, Bedienung und Funktionalität, sind meiner persönlichen Meinung nach absolut perfekt.
"
3250,"
Words can't describe what kind of work B&O put in these headphones. The sound quality, the Instrument separation, the bass, everything alines absolutely perfect. Yes, they are quite expensive, but you get a piece of art for this money where everything from the case until the cables gives you a premium feeling.
"
3251,"
Vengo de unos Sony WH-1000XM4.Tras dos días con estos auriculares volví a coger mis antiguos Sony y parecen un juguete, de verdad.En comparación con dichos Sony, la cancelación de ruido es algo peor, pero compensa en todo lo demás (en los viajes de avión por ejemplo, recuerdo que la de los Sony era más eficiente).El acabado es increíble, cosa que también hace que pesen más que los Sony que están hechos de plástico, pero lo prefiero así.En resumen, muy contento con la compra, teniendo en cuenta, claro, el precio en oferta al que he tenido la suerte de comprarlos.
"
3252,
3253,"
Da appassionato di alta fedeltà ho provato diverse altre cuffie over-ear di altri produttori (Sony e Bose principalmente).Sulla qualità dei materiali produttivi anche il meno esperto si rende subito conto dell'eccellenza dei materiali costruttivi (decisamente no vegan) che differenziano queste cuffie ancora prima di accenderle ed abbinarle al proprio dispositivo.Che dire, stiamo parlando di un prodotto super premium che, anche se testato con connessioni bluetooth a 256kbps fa sentire da subito la differenza con altri prodotti di fascia medio alta (parliamo di cuffie da 350/450 in su). Qui i materiali utilizzati e il software di gestione B&O fanno sicuramente la differenza, non c'è da discutere.L'equilibrio che si percepisce (senza mettere mano all'equalizzazione) è senza uguali. Bassi pieni, caldi, avvolgenti, eleganti... medi e alti puliti e ben bilanciati. L'app di B&O permette poi di adattare in una maniera semplice ed immediata di lavorare manualmente sull'equalizzazione in base al tipo di brano che si ascolta.Uso Apple Music e ho testato diversi tipi di brani sia in formato loseless, che master e in Dolby Atmos, nonostante i limiti del bluethoot (v. 5.1) la differza si sente rispetto a piattaforme come Spotify.La presenza di ghiere meccaniche per agire sul volume e sulla cancellazione del rumore/trasparenza sono la ciliegina sulla torta su un prodotto che, a parer mio, rimane il migliore sul mercato. La qualità ha un prezzo ma in questo caso, direi che ne vale decisamente la pena.
"
3254,"
Also klar, das ist eine Menge Geld die aufgerufen wird. Ich kann jetzt nur mit dem Sony WH-1000XM3 vergleichen und das ist schon ein großer Unterschied. Angefangen von der Haptik und dem Sitz, bis hin zum Klang. Der Hörer vermittel das Gefühl von hochwertigen Materialien und er sitzt nahezu pefekt (das ist bei mir eher schwierig. Genial die Steuerung des bluetooth players, das funzt richtig gut, gerade was die Lautstärke betrift. Ich füttere den H95 mit einem Sony  NW-A105 und alles mögliche von Rock, Pop, Jazz. Der Hörer hat eine feine, breite Bühne und löst sehr klar und differenziert auf. Da höre ich Details die dem Sony verborgen blieben.Einzig die Geräuschunterdrückung ist mäßig. Die kommt weder an den Sony noch an einen Bose irgendwie ran. Ja es ist eine gewisse Geräuscjunterdrückung da, aber eben nicht in dem sinne wie beim Sony bei dem man den Eindruck hat man ist in inerisloierten Blase. Also da hääte B&O besser investieren können.Aber gut ich behalte ihn trotzdem, einfach weil der Klang einmalig ist. Ob es andere Hörer für weniger Geld gibt die den gleichen Klang bieten können..... kann ich nicht sagen, ich gönne mir den jetzt und fruee mich auf jede Gelegenheit ihn aufzusetzen.
"
3255,"
Not as good as AirPods MaxComfortable and good sound but very very expensive for what they areAnd made in China...
"
3256,"
Tengo el auricular HX, y siendo fantástico estos H95, son una auténtica maravilla y me refiero siempre al sonido. Nunca había escuchado la música a este nivel y la verdad es para disfrutar porque aprecias matices que ni me imaginaba. Hojalá me duren muchos años porque es un desembolso nada despreciable
"
3257,"
Awesome sound quality and they look nice ..not enough flexibility in the headband or earcup arms which makes them stick out a mile .. overall I love the sound and look but there are cheaper brands that offer the same .. these are worth  a £400 tag but nothing more in my opinion
"
3258,"
Vorab vielen Dank an B&O.Eine Meisterleistung an Klang und Fabrikation.Das Handwerkszeug für die substantielle technische Bewertung, ist das Rüstzeug, wie auf den Bildern wahrzunehmen.Erstklassige Hardware aus dem High Res. Bereich und natürlich epische Musik. Ein Vergleich zwischen dem Altmeister mit seiner innovativen Technologie LDAC und B&O mit aptX Adaptive als direkter Antagonist.Der erste Eindruck nach der Inbetriebnahme ist sehr positiv. Das Wiedergabegerät übertragt sofort mit aptxHD nach der Kopplung. Spektrum und Qualität wie zu erwarten klar definiert und ausgewogen. Individuelle Konfiguration über die B&O-App möglich.Grenzenloser Spaß....
"
3259,"
Quelque soit l’usage [musique, vidéo, cinéma…] le son est équilibré. Les basses sont présentes mais pas envahissantes. Excellent investissement.
"
3260,"
Simple - worth the money if you are into quality and good sound.
"
3261,"
Soundmäßig sind die Kopfhörer über allem erhaben. Toller Bass (nicht übertrieben), glasklaren Höhen. Ein Negativpunkt: das Leder stinkt sehr penetrant nach Chemie. Bei dem Preis ist es natürlich sehr enttäuschend. Mit der Zeit wird es weniger, jedoch auch nach zwei Wochen klar zu registrieren.
"
3262,"
Die Kopfhörer hören sich absolut geil an und haben eine gute Verbindungsqualität. Leider habe ich einen sehr großen Kopf und deswegen sind die Kopfhörer sehr gespannt auf meinem Kopf und drücken. Also wenn du beim Motorrad einen XXL Helm trägst, such dir lieber andere Kopfhörer.
"
